"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","3.82",""
"Afghanistan","2011","3.77",""
"Afghanistan","2010","3.71",""
"Afghanistan","2009","3.65",""
"Afghanistan","2008","3.58",""
"Afghanistan","2007","3.51",""
"Afghanistan","2006","3.45",""
"Afghanistan","2005","3.4",""
"Afghanistan","2004","3.37",""
"Afghanistan","2003","3.35",""
"Afghanistan","2002","3.35",""
"Afghanistan","2001","3.35",""
"Afghanistan","2000","3.36",""
"Afghanistan","1999","3.38",""
"Afghanistan","1998","3.4",""
"Afghanistan","1997","3.43",""
"Afghanistan","1996","3.43",""
"Afghanistan","1995","3.42",""
"Afghanistan","1994","3.39",""
"Afghanistan","1993","3.32",""
"Afghanistan","1992","3.23",""
"Afghanistan","1991","3.13",""
"Afghanistan","1990","3.07",""
"Albania","2012","14.93",""
"Albania","2011","14.56",""
"Albania","2010","14.19",""
"Albania","2009","13.83",""
"Albania","2008","13.47",""
"Albania","2007","13.12",""
"Albania","2006","12.75",""
"Albania","2005","12.36",""
"Albania","2004","11.94",""
"Albania","2003","11.5",""
"Albania","2002","11.06",""
"Albania","2001","10.63",""
"Albania","2000","10.22",""
"Albania","1999","9.86",""
"Albania","1998","9.52",""
"Albania","1997","9.2",""
"Albania","1996","8.91",""
"Albania","1995","8.62",""
"Albania","1994","8.36",""
"Albania","1993","8.11",""
"Albania","1992","7.89",""
"Albania","1991","7.7",""
"Albania","1990","7.55",""
"Algeria","2012","7.17",""
"Algeria","2011","6.96",""
"Algeria","2010","6.79",""
"Algeria","2009","6.66",""
"Algeria","2008","6.58",""
"Algeria","2007","6.52",""
"Algeria","2006","6.47",""
"Algeria","2005","6.41",""
"Algeria","2004","6.33",""
"Algeria","2003","6.24",""
"Algeria","2002","6.14",""
"Algeria","2001","6.03",""
"Algeria","2000","5.92",""
"Algeria","1999","5.81",""
"Algeria","1998","5.7",""
"Algeria","1997","5.58",""
"Algeria","1996","5.47",""
"Algeria","1995","5.36",""
"Algeria","1994","5.26",""
"Algeria","1993","5.16",""
"Algeria","1992","5.07",""
"Algeria","1991","5",""
"Algeria","1990","4.94",""
"Andorra","2012","22.86",""
"Andorra","2011","22.64",""
"Andorra","2010","22.43",""
"Andorra","2009","22.23",""
"Andorra","2008","22.03",""
"Andorra","2007","21.84",""
"Andorra","2006","21.7",""
"Andorra","2005","21.61",""
"Andorra","2004","21.57",""
"Andorra","2003","21.58",""
"Andorra","2002","21.62",""
"Andorra","2001","21.65",""
"Andorra","2000","21.64",""
"Andorra","1999","21.58",""
"Andorra","1998","21.49",""
"Andorra","1997","21.34",""
"Andorra","1996","21.14",""
"Andorra","1995","20.89",""
"Andorra","1994","20.59",""
"Andorra","1993","20.24",""
"Andorra","1992","19.84",""
"Andorra","1991","19.43",""
"Andorra","1990","19.01",""
"Angola","2012","3.84",""
"Angola","2011","3.82",""
"Angola","2010","3.82",""
"Angola","2009","3.82",""
"Angola","2008","3.84",""
"Angola","2007","3.86",""
"Angola","2006","3.89",""
"Angola","2005","3.91",""
"Angola","2004","3.93",""
"Angola","2003","3.95",""
"Angola","2002","3.96",""
"Angola","2001","3.97",""
"Angola","2000","3.99",""
"Angola","1999","4.01",""
"Angola","1998","4.03",""
"Angola","1997","4.05",""
"Angola","1996","4.07",""
"Angola","1995","4.1",""
"Angola","1994","4.12",""
"Angola","1993","4.15",""
"Angola","1992","4.18",""
"Angola","1991","4.21",""
"Angola","1990","4.24",""
"Antigua and Barbuda","2012","12.35",""
"Antigua and Barbuda","2011","12.09",""
"Antigua and Barbuda","2010","11.86",""
"Antigua and Barbuda","2009","11.66",""
"Antigua and Barbuda","2008","11.48",""
"Antigua and Barbuda","2007","11.32",""
"Antigua and Barbuda","2006","11.17",""
"Antigua and Barbuda","2005","11.03",""
"Antigua and Barbuda","2004","10.89",""
"Antigua and Barbuda","2003","10.76",""
"Antigua and Barbuda","2002","10.63",""
"Antigua and Barbuda","2001","10.51",""
"Antigua and Barbuda","2000","10.38",""
"Antigua and Barbuda","1999","10.24",""
"Antigua and Barbuda","1998","10.1",""
"Antigua and Barbuda","1997","9.96",""
"Antigua and Barbuda","1996","9.83",""
"Antigua and Barbuda","1995","9.71",""
"Antigua and Barbuda","1994","9.61",""
"Antigua and Barbuda","1993","9.53",""
"Antigua and Barbuda","1992","9.45",""
"Antigua and Barbuda","1991","9.38",""
"Antigua and Barbuda","1990","9.31",""
"Argentina","2012","14.97",""
"Argentina","2011","14.81",""
"Argentina","2010","14.65",""
"Argentina","2009","14.5",""
"Argentina","2008","14.36",""
"Argentina","2007","14.22",""
"Argentina","2006","14.1",""
"Argentina","2005","13.98",""
"Argentina","2004","13.88",""
"Argentina","2003","13.79",""
"Argentina","2002","13.71",""
"Argentina","2001","13.64",""
"Argentina","2000","13.57",""
"Argentina","1999","13.52",""
"Argentina","1998","13.47",""
"Argentina","1997","13.43",""
"Argentina","1996","13.38",""
"Argentina","1995","13.34",""
"Argentina","1994","13.29",""
"Argentina","1993","13.23",""
"Argentina","1992","13.18",""
"Argentina","1991","13.11",""
"Argentina","1990","13.04",""
"Armenia","2012","14.06",""
"Armenia","2011","13.85",""
"Armenia","2010","13.73",""
"Armenia","2009","13.68",""
"Armenia","2008","13.71",""
"Armenia","2007","13.8",""
"Armenia","2006","13.95",""
"Armenia","2005","14.16",""
"Armenia","2004","14.44",""
"Armenia","2003","14.75",""
"Armenia","2002","15.03",""
"Armenia","2001","15.18",""
"Armenia","2000","15.13",""
"Armenia","1999","14.86",""
"Armenia","1998","14.4",""
"Armenia","1997","13.81",""
"Armenia","1996","13.16",""
"Armenia","1995","12.54",""
"Armenia","1994","11.96",""
"Armenia","1993","11.42",""
"Armenia","1992","10.93",""
"Armenia","1991","10.47",""
"Armenia","1990","10.02",""
"Australia","2012","19.46",""
"Australia","2011","19.16",""
"Australia","2010","18.87",""
"Australia","2009","18.59",""
"Australia","2008","18.32",""
"Australia","2007","18.06",""
"Australia","2006","17.8",""
"Australia","2005","17.56",""
"Australia","2004","17.33",""
"Australia","2003","17.11",""
"Australia","2002","16.91",""
"Australia","2001","16.73",""
"Australia","2000","16.55",""
"Australia","1999","16.38",""
"Australia","1998","16.23",""
"Australia","1997","16.08",""
"Australia","1996","15.95",""
"Australia","1995","15.83",""
"Australia","1994","15.73",""
"Australia","1993","15.65",""
"Australia","1992","15.58",""
"Australia","1991","15.5",""
"Australia","1990","15.41",""
"Austria","2012","23.52",""
"Austria","2011","23.32",""
"Austria","2010","23.14",""
"Austria","2009","22.96",""
"Austria","2008","22.8",""
"Austria","2007","22.62",""
"Austria","2006","22.42",""
"Austria","2005","22.16",""
"Austria","2004","21.85",""
"Austria","2003","21.48",""
"Austria","2002","21.1",""
"Austria","2001","20.74",""
"Austria","2000","20.43",""
"Austria","1999","20.18",""
"Austria","1998","19.98",""
"Austria","1997","19.84",""
"Austria","1996","19.77",""
"Austria","1995","19.76",""
"Austria","1994","19.81",""
"Austria","1993","19.92",""
"Austria","1992","20.06",""
"Austria","1991","20.18",""
"Austria","1990","20.26",""
"Azerbaijan","2012","8.24",""
"Azerbaijan","2011","8.04",""
"Azerbaijan","2010","7.93",""
"Azerbaijan","2009","7.91",""
"Azerbaijan","2008","7.98",""
"Azerbaijan","2007","8.1",""
"Azerbaijan","2006","8.25",""
"Azerbaijan","2005","8.4",""
"Azerbaijan","2004","8.55",""
"Azerbaijan","2003","8.69",""
"Azerbaijan","2002","8.8",""
"Azerbaijan","2001","8.86",""
"Azerbaijan","2000","8.85",""
"Azerbaijan","1999","8.75",""
"Azerbaijan","1998","8.56",""
"Azerbaijan","1997","8.32",""
"Azerbaijan","1996","8.08",""
"Azerbaijan","1995","7.87",""
"Azerbaijan","1994","7.7",""
"Azerbaijan","1993","7.56",""
"Azerbaijan","1992","7.44",""
"Azerbaijan","1991","7.35",""
"Azerbaijan","1990","7.27",""
"Bahamas","2012","11.24",""
"Bahamas","2011","10.85",""
"Bahamas","2010","10.52",""
"Bahamas","2009","10.25",""
"Bahamas","2008","10.02",""
"Bahamas","2007","9.83",""
"Bahamas","2006","9.64",""
"Bahamas","2005","9.44",""
"Bahamas","2004","9.21",""
"Bahamas","2003","8.95",""
"Bahamas","2002","8.68",""
"Bahamas","2001","8.41",""
"Bahamas","2000","8.15",""
"Bahamas","1999","7.9",""
"Bahamas","1998","7.66",""
"Bahamas","1997","7.44",""
"Bahamas","1996","7.24",""
"Bahamas","1995","7.07",""
"Bahamas","1994","6.92",""
"Bahamas","1993","6.8",""
"Bahamas","1992","6.7",""
"Bahamas","1991","6.61",""
"Bahamas","1990","6.52",""
"Bahrain","2012","3.38",""
"Bahrain","2011","3.44",""
"Bahrain","2010","3.48",""
"Bahrain","2009","3.49",""
"Bahrain","2008","3.47",""
"Bahrain","2007","3.43",""
"Bahrain","2006","3.4",""
"Bahrain","2005","3.4",""
"Bahrain","2004","3.44",""
"Bahrain","2003","3.52",""
"Bahrain","2002","3.63",""
"Bahrain","2001","3.73",""
"Bahrain","2000","3.81",""
"Bahrain","1999","3.87",""
"Bahrain","1998","3.89",""
"Bahrain","1997","3.9",""
"Bahrain","1996","3.88",""
"Bahrain","1995","3.86",""
"Bahrain","1994","3.83",""
"Bahrain","1993","3.78",""
"Bahrain","1992","3.74",""
"Bahrain","1991","3.71",""
"Bahrain","1990","3.71",""
"Bangladesh","2012","6.89",""
"Bangladesh","2011","6.83",""
"Bangladesh","2010","6.79",""
"Bangladesh","2009","6.74",""
"Bangladesh","2008","6.69",""
"Bangladesh","2007","6.65",""
"Bangladesh","2006","6.6",""
"Bangladesh","2005","6.55",""
"Bangladesh","2004","6.49",""
"Bangladesh","2003","6.42",""
"Bangladesh","2002","6.35",""
"Bangladesh","2001","6.27",""
"Bangladesh","2000","6.2",""
"Bangladesh","1999","6.13",""
"Bangladesh","1998","6.06",""
"Bangladesh","1997","6",""
"Bangladesh","1996","5.94",""
"Bangladesh","1995","5.89",""
"Bangladesh","1994","5.84",""
"Bangladesh","1993","5.8",""
"Bangladesh","1992","5.77",""
"Bangladesh","1991","5.74",""
"Bangladesh","1990","5.71",""
"Barbados","2012","15.78",""
"Barbados","2011","15.46",""
"Barbados","2010","15.17",""
"Barbados","2009","14.91",""
"Barbados","2008","14.69",""
"Barbados","2007","14.5",""
"Barbados","2006","14.4",""
"Barbados","2005","14.38",""
"Barbados","2004","14.47",""
"Barbados","2003","14.64",""
"Barbados","2002","14.85",""
"Barbados","2001","15.01",""
"Barbados","2000","15.08",""
"Barbados","1999","15.04",""
"Barbados","1998","14.9",""
"Barbados","1997","14.69",""
"Barbados","1996","14.46",""
"Barbados","1995","14.23",""
"Barbados","1994","14.02",""
"Barbados","1993","13.82",""
"Barbados","1992","13.64",""
"Barbados","1991","13.5",""
"Barbados","1990","13.42",""
"Belarus","2012","19.31",""
"Belarus","2011","19.16",""
"Belarus","2010","19.02",""
"Belarus","2009","18.86",""
"Belarus","2008","18.7",""
"Belarus","2007","18.55",""
"Belarus","2006","18.47",""
"Belarus","2005","18.48",""
"Belarus","2004","18.59",""
"Belarus","2003","18.78",""
"Belarus","2002","18.99",""
"Belarus","2001","19.12",""
"Belarus","2000","19.13",""
"Belarus","1999","18.98",""
"Belarus","1998","18.7",""
"Belarus","1997","18.34",""
"Belarus","1996","17.97",""
"Belarus","1995","17.65",""
"Belarus","1994","17.4",""
"Belarus","1993","17.2",""
"Belarus","1992","17.02",""
"Belarus","1991","16.8",""
"Belarus","1990","16.53",""
"Belgium","2012","23.81",""
"Belgium","2011","23.58",""
"Belgium","2010","23.34",""
"Belgium","2009","23.06",""
"Belgium","2008","22.76",""
"Belgium","2007","22.47",""
"Belgium","2006","22.21",""
"Belgium","2005","22.03",""
"Belgium","2004","21.94",""
"Belgium","2003","21.92",""
"Belgium","2002","21.94",""
"Belgium","2001","21.97",""
"Belgium","2000","21.96",""
"Belgium","1999","21.92",""
"Belgium","1998","21.84",""
"Belgium","1997","21.73",""
"Belgium","1996","21.6",""
"Belgium","1995","21.47",""
"Belgium","1994","21.31",""
"Belgium","1993","21.15",""
"Belgium","1992","20.97",""
"Belgium","1991","20.79",""
"Belgium","1990","20.61",""
"Belize","2012","5.74",""
"Belize","2011","5.67",""
"Belize","2010","5.62",""
"Belize","2009","5.59",""
"Belize","2008","5.58",""
"Belize","2007","5.59",""
"Belize","2006","5.62",""
"Belize","2005","5.67",""
"Belize","2004","5.73",""
"Belize","2003","5.8",""
"Belize","2002","5.89",""
"Belize","2001","5.97",""
"Belize","2000","6.05",""
"Belize","1999","6.11",""
"Belize","1998","6.17",""
"Belize","1997","6.21",""
"Belize","1996","6.23",""
"Belize","1995","6.24",""
"Belize","1994","6.23",""
"Belize","1993","6.2",""
"Belize","1992","6.16",""
"Belize","1991","6.11",""
"Belize","1990","6.06",""
"Benin","2012","4.54",""
"Benin","2011","4.53",""
"Benin","2010","4.53",""
"Benin","2009","4.53",""
"Benin","2008","4.54",""
"Benin","2007","4.55",""
"Benin","2006","4.56",""
"Benin","2005","4.58",""
"Benin","2004","4.58",""
"Benin","2003","4.59",""
"Benin","2002","4.59",""
"Benin","2001","4.6",""
"Benin","2000","4.61",""
"Benin","1999","4.64",""
"Benin","1998","4.67",""
"Benin","1997","4.71",""
"Benin","1996","4.75",""
"Benin","1995","4.8",""
"Benin","1994","4.85",""
"Benin","1993","4.91",""
"Benin","1992","4.97",""
"Benin","1991","5.04",""
"Benin","1990","5.11",""
"Bhutan","2012","6.9",""
"Bhutan","2011","6.81",""
"Bhutan","2010","6.71",""
"Bhutan","2009","6.6",""
"Bhutan","2008","6.47",""
"Bhutan","2007","6.34",""
"Bhutan","2006","6.22",""
"Bhutan","2005","6.13",""
"Bhutan","2004","6.06",""
"Bhutan","2003","6.01",""
"Bhutan","2002","5.97",""
"Bhutan","2001","5.94",""
"Bhutan","2000","5.89",""
"Bhutan","1999","5.84",""
"Bhutan","1998","5.78",""
"Bhutan","1997","5.7",""
"Bhutan","1996","5.6",""
"Bhutan","1995","5.5",""
"Bhutan","1994","5.38",""
"Bhutan","1993","5.25",""
"Bhutan","1992","5.13",""
"Bhutan","1991","5.02",""
"Bhutan","1990","4.92",""
"Bolivia (Plurinational State of)","2012","7.28",""
"Bolivia (Plurinational State of)","2011","7.17",""
"Bolivia (Plurinational State of)","2010","7.07",""
"Bolivia (Plurinational State of)","2009","6.96",""
"Bolivia (Plurinational State of)","2008","6.85",""
"Bolivia (Plurinational State of)","2007","6.75",""
"Bolivia (Plurinational State of)","2006","6.65",""
"Bolivia (Plurinational State of)","2005","6.57",""
"Bolivia (Plurinational State of)","2004","6.5",""
"Bolivia (Plurinational State of)","2003","6.44",""
"Bolivia (Plurinational State of)","2002","6.39",""
"Bolivia (Plurinational State of)","2001","6.35",""
"Bolivia (Plurinational State of)","2000","6.31",""
"Bolivia (Plurinational State of)","1999","6.26",""
"Bolivia (Plurinational State of)","1998","6.21",""
"Bolivia (Plurinational State of)","1997","6.16",""
"Bolivia (Plurinational State of)","1996","6.1",""
"Bolivia (Plurinational State of)","1995","6.06",""
"Bolivia (Plurinational State of)","1994","6.01",""
"Bolivia (Plurinational State of)","1993","5.97",""
"Bolivia (Plurinational State of)","1992","5.93",""
"Bolivia (Plurinational State of)","1991","5.89",""
"Bolivia (Plurinational State of)","1990","5.84",""
"Bosnia and Herzegovina","2012","20.52",""
"Bosnia and Herzegovina","2011","20.16",""
"Bosnia and Herzegovina","2010","19.83",""
"Bosnia and Herzegovina","2009","19.53",""
"Bosnia and Herzegovina","2008","19.25",""
"Bosnia and Herzegovina","2007","18.99",""
"Bosnia and Herzegovina","2006","18.71",""
"Bosnia and Herzegovina","2005","18.41",""
"Bosnia and Herzegovina","2004","18.07",""
"Bosnia and Herzegovina","2003","17.7",""
"Bosnia and Herzegovina","2002","17.29",""
"Bosnia and Herzegovina","2001","16.86",""
"Bosnia and Herzegovina","2000","16.4",""
"Bosnia and Herzegovina","1999","15.91",""
"Bosnia and Herzegovina","1998","15.36",""
"Bosnia and Herzegovina","1997","14.73",""
"Bosnia and Herzegovina","1996","14.01",""
"Bosnia and Herzegovina","1995","13.24",""
"Bosnia and Herzegovina","1994","12.48",""
"Bosnia and Herzegovina","1993","11.79",""
"Bosnia and Herzegovina","1992","11.21",""
"Bosnia and Herzegovina","1991","10.72",""
"Bosnia and Herzegovina","1990","10.29",""
"Botswana","2012","5.63",""
"Botswana","2011","5.46",""
"Botswana","2010","5.31",""
"Botswana","2009","5.19",""
"Botswana","2008","5.12",""
"Botswana","2007","5.06",""
"Botswana","2006","5.01",""
"Botswana","2005","4.96",""
"Botswana","2004","4.9",""
"Botswana","2003","4.84",""
"Botswana","2002","4.78",""
"Botswana","2001","4.71",""
"Botswana","2000","4.64",""
"Botswana","1999","4.58",""
"Botswana","1998","4.52",""
"Botswana","1997","4.46",""
"Botswana","1996","4.4",""
"Botswana","1995","4.34",""
"Botswana","1994","4.28",""
"Botswana","1993","4.23",""
"Botswana","1992","4.18",""
"Botswana","1991","4.14",""
"Botswana","1990","4.11",""
"Brazil","2012","10.81",""
"Brazil","2011","10.48",""
"Brazil","2010","10.17",""
"Brazil","2009","9.87",""
"Brazil","2008","9.59",""
"Brazil","2007","9.34",""
"Brazil","2006","9.11",""
"Brazil","2005","8.9",""
"Brazil","2004","8.72",""
"Brazil","2003","8.55",""
"Brazil","2002","8.41",""
"Brazil","2001","8.27",""
"Brazil","2000","8.13",""
"Brazil","1999","7.98",""
"Brazil","1998","7.82",""
"Brazil","1997","7.67",""
"Brazil","1996","7.51",""
"Brazil","1995","7.37",""
"Brazil","1994","7.25",""
"Brazil","1993","7.14",""
"Brazil","1992","7.04",""
"Brazil","1991","6.94",""
"Brazil","1990","6.84",""
"Brunei Darussalam","2012","7.03",""
"Brunei Darussalam","2011","6.59",""
"Brunei Darussalam","2010","6.18",""
"Brunei Darussalam","2009","5.82",""
"Brunei Darussalam","2008","5.51",""
"Brunei Darussalam","2007","5.23",""
"Brunei Darussalam","2006","4.99",""
"Brunei Darussalam","2005","4.79",""
"Brunei Darussalam","2004","4.63",""
"Brunei Darussalam","2003","4.5",""
"Brunei Darussalam","2002","4.4",""
"Brunei Darussalam","2001","4.33",""
"Brunei Darussalam","2000","4.27",""
"Brunei Darussalam","1999","4.25",""
"Brunei Darussalam","1998","4.24",""
"Brunei Darussalam","1997","4.25",""
"Brunei Darussalam","1996","4.25",""
"Brunei Darussalam","1995","4.24",""
"Brunei Darussalam","1994","4.2",""
"Brunei Darussalam","1993","4.15",""
"Brunei Darussalam","1992","4.09",""
"Brunei Darussalam","1991","4.05",""
"Brunei Darussalam","1990","4.04",""
"Bulgaria","2012","26.11",""
"Bulgaria","2011","25.83",""
"Bulgaria","2010","25.48",""
"Bulgaria","2009","25.08",""
"Bulgaria","2008","24.62",""
"Bulgaria","2007","24.15",""
"Bulgaria","2006","23.71",""
"Bulgaria","2005","23.32",""
"Bulgaria","2004","23",""
"Bulgaria","2003","22.74",""
"Bulgaria","2002","22.52",""
"Bulgaria","2001","22.33",""
"Bulgaria","2000","22.17",""
"Bulgaria","1999","22.03",""
"Bulgaria","1998","21.92",""
"Bulgaria","1997","21.8",""
"Bulgaria","1996","21.62",""
"Bulgaria","1995","21.37",""
"Bulgaria","1994","21.03",""
"Bulgaria","1993","20.62",""
"Bulgaria","1992","20.17",""
"Bulgaria","1991","19.72",""
"Bulgaria","1990","19.3",""
"Burkina Faso","2012","3.88",""
"Burkina Faso","2011","3.9",""
"Burkina Faso","2010","3.92",""
"Burkina Faso","2009","3.94",""
"Burkina Faso","2008","3.97",""
"Burkina Faso","2007","4",""
"Burkina Faso","2006","4.04",""
"Burkina Faso","2005","4.08",""
"Burkina Faso","2004","4.12",""
"Burkina Faso","2003","4.16",""
"Burkina Faso","2002","4.21",""
"Burkina Faso","2001","4.26",""
"Burkina Faso","2000","4.32",""
"Burkina Faso","1999","4.38",""
"Burkina Faso","1998","4.45",""
"Burkina Faso","1997","4.53",""
"Burkina Faso","1996","4.61",""
"Burkina Faso","1995","4.69",""
"Burkina Faso","1994","4.77",""
"Burkina Faso","1993","4.85",""
"Burkina Faso","1992","4.94",""
"Burkina Faso","1991","5.02",""
"Burkina Faso","1990","5.09",""
"Burundi","2012","3.87",""
"Burundi","2011","3.85",""
"Burundi","2010","3.85",""
"Burundi","2009","3.86",""
"Burundi","2008","3.9",""
"Burundi","2007","3.95",""
"Burundi","2006","4",""
"Burundi","2005","4.06",""
"Burundi","2004","4.12",""
"Burundi","2003","4.18",""
"Burundi","2002","4.24",""
"Burundi","2001","4.29",""
"Burundi","2000","4.34",""
"Burundi","1999","4.37",""
"Burundi","1998","4.38",""
"Burundi","1997","4.39",""
"Burundi","1996","4.41",""
"Burundi","1995","4.42",""
"Burundi","1994","4.45",""
"Burundi","1993","4.48",""
"Burundi","1992","4.52",""
"Burundi","1991","4.56",""
"Burundi","1990","4.61",""
"Cabo Verde","2012","7.05",""
"Cabo Verde","2011","6.9",""
"Cabo Verde","2010","6.81",""
"Cabo Verde","2009","6.81",""
"Cabo Verde","2008","6.88",""
"Cabo Verde","2007","6.99",""
"Cabo Verde","2006","7.11",""
"Cabo Verde","2005","7.22",""
"Cabo Verde","2004","7.3",""
"Cabo Verde","2003","7.35",""
"Cabo Verde","2002","7.39",""
"Cabo Verde","2001","7.41",""
"Cabo Verde","2000","7.43",""
"Cabo Verde","1999","7.44",""
"Cabo Verde","1998","7.43",""
"Cabo Verde","1997","7.41",""
"Cabo Verde","1996","7.39",""
"Cabo Verde","1995","7.38",""
"Cabo Verde","1994","7.39",""
"Cabo Verde","1993","7.4",""
"Cabo Verde","1992","7.42",""
"Cabo Verde","1991","7.41",""
"Cabo Verde","1990","7.36",""
"Cambodia","2012","7.67",""
"Cambodia","2011","7.44",""
"Cambodia","2010","7.23",""
"Cambodia","2009","7.03",""
"Cambodia","2008","6.84",""
"Cambodia","2007","6.67",""
"Cambodia","2006","6.51",""
"Cambodia","2005","6.35",""
"Cambodia","2004","6.2",""
"Cambodia","2003","6.06",""
"Cambodia","2002","5.93",""
"Cambodia","2001","5.81",""
"Cambodia","2000","5.71",""
"Cambodia","1999","5.64",""
"Cambodia","1998","5.58",""
"Cambodia","1997","5.53",""
"Cambodia","1996","5.49",""
"Cambodia","1995","5.44",""
"Cambodia","1994","5.39",""
"Cambodia","1993","5.33",""
"Cambodia","1992","5.26",""
"Cambodia","1991","5.2",""
"Cambodia","1990","5.14",""
"Cameroon","2012","4.89",""
"Cameroon","2011","4.91",""
"Cameroon","2010","4.93",""
"Cameroon","2009","4.95",""
"Cameroon","2008","4.97",""
"Cameroon","2007","5",""
"Cameroon","2006","5.02",""
"Cameroon","2005","5.05",""
"Cameroon","2004","5.08",""
"Cameroon","2003","5.11",""
"Cameroon","2002","5.14",""
"Cameroon","2001","5.16",""
"Cameroon","2000","5.19",""
"Cameroon","1999","5.22",""
"Cameroon","1998","5.24",""
"Cameroon","1997","5.27",""
"Cameroon","1996","5.3",""
"Cameroon","1995","5.32",""
"Cameroon","1994","5.35",""
"Cameroon","1993","5.38",""
"Cameroon","1992","5.41",""
"Cameroon","1991","5.44",""
"Cameroon","1990","5.47",""
"Canada","2012","20.82",""
"Canada","2011","20.37",""
"Canada","2010","19.93",""
"Canada","2009","19.48",""
"Canada","2008","19.05",""
"Canada","2007","18.62",""
"Canada","2006","18.22",""
"Canada","2005","17.86",""
"Canada","2004","17.54",""
"Canada","2003","17.27",""
"Canada","2002","17.03",""
"Canada","2001","16.82",""
"Canada","2000","16.64",""
"Canada","1999","16.49",""
"Canada","1998","16.37",""
"Canada","1997","16.26",""
"Canada","1996","16.16",""
"Canada","1995","16.06",""
"Canada","1994","15.97",""
"Canada","1993","15.86",""
"Canada","1992","15.75",""
"Canada","1991","15.63",""
"Canada","1990","15.5",""
"Central African Republic","2012","5.74",""
"Central African Republic","2011","5.77",""
"Central African Republic","2010","5.79",""
"Central African Republic","2009","5.83",""
"Central African Republic","2008","5.87",""
"Central African Republic","2007","5.91",""
"Central African Republic","2006","5.94",""
"Central African Republic","2005","5.98",""
"Central African Republic","2004","6.01",""
"Central African Republic","2003","6.03",""
"Central African Republic","2002","6.04",""
"Central African Republic","2001","6.06",""
"Central African Republic","2000","6.08",""
"Central African Republic","1999","6.1",""
"Central African Republic","1998","6.12",""
"Central African Republic","1997","6.14",""
"Central African Republic","1996","6.16",""
"Central African Republic","1995","6.18",""
"Central African Republic","1994","6.21",""
"Central African Republic","1993","6.23",""
"Central African Republic","1992","6.25",""
"Central African Republic","1991","6.27",""
"Central African Republic","1990","6.28",""
"Chad","2012","3.8",""
"Chad","2011","3.81",""
"Chad","2010","3.83",""
"Chad","2009","3.87",""
"Chad","2008","3.92",""
"Chad","2007","3.99",""
"Chad","2006","4.05",""
"Chad","2005","4.12",""
"Chad","2004","4.18",""
"Chad","2003","4.24",""
"Chad","2002","4.3",""
"Chad","2001","4.35",""
"Chad","2000","4.41",""
"Chad","1999","4.47",""
"Chad","1998","4.54",""
"Chad","1997","4.6",""
"Chad","1996","4.66",""
"Chad","1995","4.72",""
"Chad","1994","4.79",""
"Chad","1993","4.85",""
"Chad","1992","4.91",""
"Chad","1991","4.98",""
"Chad","1990","5.04",""
"Chile","2012","13.8",""
"Chile","2011","13.44",""
"Chile","2010","13.09",""
"Chile","2009","12.76",""
"Chile","2008","12.45",""
"Chile","2007","12.15",""
"Chile","2006","11.85",""
"Chile","2005","11.56",""
"Chile","2004","11.27",""
"Chile","2003","10.99",""
"Chile","2002","10.71",""
"Chile","2001","10.46",""
"Chile","2000","10.23",""
"Chile","1999","10.04",""
"Chile","1998","9.88",""
"Chile","1997","9.75",""
"Chile","1996","9.63",""
"Chile","1995","9.51",""
"Chile","1994","9.4",""
"Chile","1993","9.29",""
"Chile","1992","9.18",""
"Chile","1991","9.08",""
"Chile","1990","8.98",""
"China","2012","13.42",""
"China","2011","12.91",""
"China","2010","12.46",""
"China","2009","12.06",""
"China","2008","11.73",""
"China","2007","11.43",""
"China","2006","11.18",""
"China","2005","10.94",""
"China","2004","10.73",""
"China","2003","10.54",""
"China","2002","10.36",""
"China","2001","10.2",""
"China","2000","10.04",""
"China","1999","9.89",""
"China","1998","9.75",""
"China","1997","9.6",""
"China","1996","9.46",""
"China","1995","9.32",""
"China","1994","9.19",""
"China","1993","9.04",""
"China","1992","8.9",""
"China","1991","8.78",""
"China","1990","8.66",""
"Colombia","2012","9.19",""
"Colombia","2011","8.88",""
"Colombia","2010","8.59",""
"Colombia","2009","8.32",""
"Colombia","2008","8.07",""
"Colombia","2007","7.84",""
"Colombia","2006","7.64",""
"Colombia","2005","7.45",""
"Colombia","2004","7.29",""
"Colombia","2003","7.16",""
"Colombia","2002","7.05",""
"Colombia","2001","6.95",""
"Colombia","2000","6.85",""
"Colombia","1999","6.77",""
"Colombia","1998","6.7",""
"Colombia","1997","6.63",""
"Colombia","1996","6.56",""
"Colombia","1995","6.51",""
"Colombia","1994","6.45",""
"Colombia","1993","6.4",""
"Colombia","1992","6.36",""
"Colombia","1991","6.31",""
"Colombia","1990","6.27",""
"Comoros","2012","4.5",""
"Comoros","2011","4.47",""
"Comoros","2010","4.45",""
"Comoros","2009","4.46",""
"Comoros","2008","4.49",""
"Comoros","2007","4.53",""
"Comoros","2006","4.58",""
"Comoros","2005","4.63",""
"Comoros","2004","4.67",""
"Comoros","2003","4.71",""
"Comoros","2002","4.74",""
"Comoros","2001","4.77",""
"Comoros","2000","4.8",""
"Comoros","1999","4.83",""
"Comoros","1998","4.85",""
"Comoros","1997","4.88",""
"Comoros","1996","4.89",""
"Comoros","1995","4.91",""
"Comoros","1994","4.93",""
"Comoros","1993","4.94",""
"Comoros","1992","4.95",""
